dataset,instance_id,category,transform,scale,aligned_dims,aligned_planes
PartNet-Mobility,30238,Table,"1.0\,0.0\,0.0\,-0.015356004238128662\,0.0\,1.0\,0.0\,-0.01104399561882019\,0.0\,0.0\,1.0\,0.3056895136833191\,0.0\,0.0\,0.0\,1.0",1.0,"0.8086940050125122\,1.428342044353485\,0.825497031211853","0\,0\,1\,-0.4127485156059265\,1.0\,0.0\,0.0\,-0.3570860028266907\,-1.0\,0.0\,0.0\,0.34553298354148865\,-0.9999999999999464\,1.2185589466979238e-07\,3.0376899421805024e-07\,-0.35183411759674627\,1.0\,0.0\,0.0\,0.3570849895477295\,0.0\,-1.0\,0.0\,0.6735810339450836\,0.0\,-1.0\,0.0\,-0.6686410009860992\,0.0\,1.0\,0.0\,-0.6735810339450836\,0.0\,1.0\,0.0\,0.6686410009860992"
PartNet-Mobility,3380,Bottle,"1.0\,0.0\,0.0\,0.0007823431822288687\,0.0\,1.0\,0.0\,0.0007082650846194707\,0.0\,0.0\,1.0\,-0.033790141202694565\,0.0\,0.0\,0.0\,1.0",0.186581783,"0.07676685555937056\,0.0767668392918095\,0.3058448718296598",
PartNet-Mobility,3398,Bottle,"1.0\,0.0\,0.0\,-0.002394089167335009\,0.0\,1.0\,0.0\,0.00045957348124404246\,0.0\,0.0\,1.0\,-0.016804650575665832\,0.0\,0.0\,0.0\,1.0",0.112917796,"0.08146772809935528\,0.07499708553425988\,0.18628254527311383","-1.1920927485968371e-07\,2.9504278705703897e-14\,0.9999999999999929\,-0.00413065078018403\,1.1920927507837874e-07\,-2.9128075295922025e-14\,-0.9999999999999929\,0.004130650780184002"
PartNet-Mobility,3517,Bottle,"1.0\,0.0\,0.0\,0.0006933022450063067\,0.0\,1.0\,0.0\,-0.00031067153781846185\,0.0\,0.0\,1.0\,-0.018401172590498227\,0.0\,0.0\,0.0\,1.0",0.121143596,"0.07499927413802432\,0.10833229529596533\,0.20416489564767357","0.9999999999999994\,-8.88178398995759e-16\,2.9802321953623157e-08\,-0.03499971213683351\,-0.9999999999999996\,1.0324018994404655e-15\,-2.9802318335271483e-08\,0.034999712136833304\,0.9999999999999996\,-8.88178364785708e-16\,2.9802320805724316e-08\,0.03499972183178177\,-0.9999999999999997\,8.881785281741379e-16\,-2.980232585312522e-08\,-0.03499972183178224\,-0.04957587856733248\,0.020538290993946898\,-0.9985591674344215\,-0.09407805564386484\,-0.020536804042082173\,0.049572332987482086\,0.9985593740393784\,0.0940780792492427"
PartNet-Mobility,3519,Bottle,"1.0\,0.0\,0.0\,0.0011455320394189172\,0.0\,1.0\,0.0\,-0.0047478677003705005\,0.0\,0.0\,1.0\,-0.02505842762828958\,0.0\,0.0\,0.0\,1.0",0.186523665,"0.1849402592867957\,0.18494026484563397\,0.3200065251145412",
PartNet-Mobility,3520,Bottle,"1.0\,0.0\,0.0\,-9.467628699845118e-05\,0.0\,1.0\,0.0\,-0.0003940992668566047\,0.0\,0.0\,1.0\,-0.0025241767008164218\,0.0\,0.0\,0.0\,1.0",0.063862786,"0.07000072007174496\,0.07000066522137924\,0.11307061265070355","-1.192092735845456e-07\,9.24550363863624e-15\,0.9999999999999929\,-0.04373777470689926\,1.1920927443588377e-07\,3.686608634164409e-15\,-0.9999999999999929\,0.04373777470689898"
PartNet-Mobility,3558,Bottle,"1.0\,0.0\,0.0\,0.0011610599623814721\,0.0\,1.0\,0.0\,0.00039226328244268416\,0.0\,0.0\,1.0\,-0.027302572469909733\,0.0\,0.0\,0.0\,1.0",0.194189602,"0.07620077703971084\,0.07620077703971084\,0.33229277880300034",
PartNet-Mobility,3571,Bottle,"1.0\,0.0\,0.0\,0.0002721272632132052\,0.0\,1.0\,0.0\,9.233169707040939e-05\,0.0\,0.0\,1.0\,-0.021004502755060557\,0.0\,0.0\,0.0\,1.0",0.126926564,"0.06999974959915713\,0.06999962332387696\,0.21072464329263457","-2.3841859334014764e-07\,-5.960461837032466e-08\,0.9999999999999698\,-0.10522207091290411\,2.3841862641547213e-07\,5.9604616791470524e-08\,-0.9999999999999698\,0.10522207091290375"
PartNet-Mobility,3574,Bottle,"1.0\,0.0\,0.0\,-0.0006717574911554169\,0.0\,1.0\,0.0\,0.0007092744080190727\,0.0\,0.0\,1.0\,-0.012132714137135805\,0.0\,0.0\,0.0\,1.0",0.166009546,"0.07999619106665332\,0.07999621743688505\,0.30865010690311945",
PartNet-Mobility,3593,Bottle,"1.0\,0.0\,0.0\,-0.002639264554078549\,0.0\,1.0\,0.0\,9.724219309968987e-05\,0.0\,0.0\,1.0\,-0.02618437830898006\,0.0\,0.0\,0.0\,1.0",0.112565077,"0.07999832343942567\,0.07999843754938363\,0.17200925468969616","2.3841856389054835e-07\,1.1920921835032535e-07\,-0.9999999999999645\,-0.08600461669844707\,-2.3841857446970674e-07\,-1.1920921919193049e-07\,0.9999999999999644\,0.0860046166984474"
PartNet-Mobility,3596,Bottle,"1.0\,0.0\,0.0\,-0.00015494341012418748\,0.0\,1.0\,0.0\,0.0006757367066216376\,0.0\,0.0\,1.0\,0.001315457766984121\,0.0\,0.0\,0.0\,1.0",0.034489392,"0.028942363663122167\,0.028942364511155033\,0.060958627774129276","1.1920927263927731e-07\,-2.9681751206742495e-14\,-0.999999999999993\,0.025043543116737146\,-1.1920927932662211e-07\,1.1002765745887781e-14\,0.999999999999993\,-0.025043543116736854\,0.0\,0.0\,1.0\,0.030479313887064638\,0.0\,0.0\,-1.0\,-0.030479313887064638"
PartNet-Mobility,3615,Bottle,"1.0\,0.0\,0.0\,-3.8933295926739386e-05\,0.0\,1.0\,0.0\,-0.00014559132645376033\,0.0\,0.0\,1.0\,-0.028205634691048823\,0.0\,0.0\,0.0\,1.0",0.183217119,"0.07666776269729154\,0.07665896936997152\,0.30928645736557236",
PartNet-Mobility,3616,Bottle,"1.0\,0.0\,0.0\,-0.00014679450114905498\,0.0\,1.0\,0.0\,-6.662492185882662e-05\,0.0\,0.0\,1.0\,-0.013209490964049858\,0.0\,0.0\,0.0\,1.0",0.137513751,"0.07500592534519993\,0.07500592474674371\,0.2474437897319972","-1.1920927203867208e-07\,1.1920928980213402e-07\,0.9999999999999858\,0.12372188854346175\,1.192092905139618e-07\,-1.192092872583925e-07\,-0.9999999999999857\,-0.12372188854346244"
PartNet-Mobility,3618,Bottle,"1.0\,0.0\,0.0\,0.0035036092334974032\,0.0\,1.0\,0.0\,-0.0008956453318997859\,0.0\,0.0\,1.0\,-0.01663959170645834\,0.0\,0.0\,0.0\,1.0",0.12655705,"0.0827265567244021\,0.07620202457747638\,0.21137660094456967","0.0\,0.0\,1.0\,0.10568830047228484\,0.0\,0.0\,-1.0\,-0.10346127353617685\,1.1920931531251124e-07\,1.788139366319063e-07\,-0.9999999999999769\,0.05465986405720415\,0.0\,0.0\,1.0\,-0.052433093766079304"
PartNet-Mobility,3635,Bottle,"1.0\,0.0\,0.0\,0.0005493440434319666\,0.0\,1.0\,0.0\,-0.0007796274607080704\,0.0\,0.0\,1.0\,-0.00931657609532121\,0.0\,0.0\,0.0\,1.0",0.051321529,"0.08058713993885529\,0.0805871344492935\,0.08001156464204776","2.3841856572102157e-07\,1.1920922295704212e-07\,-0.9999999999999645\,0.007195307172107099\,-2.3841856432823037e-07\,-1.1920921179943534e-07\,0.9999999999999645\,-0.007195307172107175\,-2.3841856488955185e-07\,-1.192092187820865e-07\,0.9999999999999645\,0.04000577676284248"
PartNet-Mobility,3655,Bottle,"1.0\,0.0\,0.0\,0.0002770518532441424\,0.0\,1.0\,0.0\,0.0002786502084399789\,0.0\,0.0\,1.0\,-0.011821019548372981\,0.0\,0.0\,0.0\,1.0",0.066511473,"0.04000033813718567\,0.04000033261161306\,0.11065049099651121","-1.1920928956000102e-07\,1.4460781708068448e-14\,0.9999999999999928\,0.010897374716356795\,1.1920928956255503e-07\,-1.4157984218435177e-14\,-0.9999999999999929\,-0.010897374716356791\,6.698652121704203e-14\,-1.1920929156170237e-07\,0.9999999999999929\,-0.03604522951986311\,-7.386927595649107e-15\,1.1920925211149256e-07\,-0.9999999999999929\,0.03604522951986259"
PartNet-Mobility,3678,Bottle,"1.0\,0.0\,0.0\,-0.0008603110449014566\,0.0\,1.0\,0.0\,-0.0008821963762708322\,0.0\,0.0\,1.0\,-0.008990242702271507\,0.0\,0.0\,0.0\,1.0",0.093930636,"0.06499568675346218\,0.06499568740994643\,0.16832248747816486","6.828393052277013e-15\,-2.980231107399588e-08\,-0.9999999999999997\,-0.08416124277057181\,-1.570267873640775e-16\,2.980233967016354e-08\,0.9999999999999997\,0.08416124277057084"
PartNet-Mobility,3763,Bottle,"1.0\,0.0\,0.0\,-0.00012287739335695158\,0.0\,1.0\,0.0\,-0.0006360661448245961\,0.0\,0.0\,1.0\,-0.00782872507032404\,0.0\,0.0\,0.0\,1.0",0.116198001,"0.08750813912902781\,0.05000466271506414\,0.21488752016030926","-1.1920929964149428e-07\,-5.960462450285709e-08\,-0.999999999999991\,0.06365221475318641\,-1.1920928543959262e-07\,-5.960464809853394e-08\,0.9999999999999911\,-0.0753907743453354\,-0.9999999999999982\,3.869890762729792e-15\,5.960464838367107e-08\,-0.04375406371921419\,0.9999999999999982\,-3.55271395621675e-15\,-5.960464815403443e-08\,0.03906617176977585\,0.9999999999999982\,-3.552713969575522e-15\,-5.960464833905443e-08\,-0.039066174518847946\,-0.9999999999999982\,3.2355374018239373e-15\,5.96046486056956e-08\,0.043754066468286286"
PartNet-Mobility,3822,Bottle,"1.0\,0.0\,0.0\,0.0004896224718114288\,0.0\,1.0\,0.0\,0.00028096645996376207\,0.0\,0.0\,1.0\,-0.005720088350375713\,0.0\,0.0\,0.0\,1.0",0.126680959,"0.0652480448432054\,0.06524804861859251\,0.24010719599585234",
PartNet-Mobility,3830,Bottle,"1.0\,0.0\,0.0\,0.0007741054539982806\,0.0\,1.0\,0.0\,-2.397586519483491e-06\,0.0\,0.0\,1.0\,-0.010515938946990433\,0.0\,0.0\,0.0\,1.0",0.116696589,"0.06506128341527866\,0.0681509542897297\,0.21194961158728096","-1.1920928462656171e-07\,-1.4901159702771887e-07\,0.9999999999999818\,0.10597480106609777\,1.1920928462656168e-07\,1.4901159702771884e-07\,-0.9999999999999818\,-0.10597480106609777\,-0.9999999999999911\,1.1920929814261085e-07\,-5.960461855125503e-08\,-0.029440862895759264\,0.9999999999999911\,-1.192092991328038e-07\,5.960460093625275e-08\,0.029440862895757567\,0.5000042555796628\,-0.8660229468104237\,-1.3218832330011335e-07\,0.03021329107491622\,-0.5000270694350487\,0.8660097746747389\,-7.0736469551048e-08\,-0.030212950181797357\,-0.4999576909266987\,-0.8660498295612817\,3.4398357440600987e-07\,0.03175855684248168\,0.4999524352992971\,0.8660528635355437\,4.327167998101827e-07\,-0.031757427944109455\,-0.5000311694367613\,0.8660074073538313\,-9.611335306592873e-09\,0.03175776477055775\,-0.5000635973631283\,-0.86598868271598\,-2.977214815364259e-07\,-0.030214231484277446\,0.5000276640243216\,-0.866009431363412\,-7.770162802137082e-09\,-0.031757810649887114\,0.49997988762759304\,0.8660370153565914\,3.8285062548846506e-07\,0.03021348120905013"
PartNet-Mobility,3854,Bottle,"1.0\,0.0\,0.0\,0.00040480986517943407\,0.0\,1.0\,0.0\,0.000514122385416229\,0.0\,0.0\,1.0\,-0.017711477921243314\,0.0\,0.0\,0.0\,1.0",0.143448795,"0.07624421347913932\,0.07624419361314258\,0.25051673301992977",
PartNet-Mobility,3933,Bottle,"1.0\,0.0\,0.0\,-0.000586286104338505\,0.0\,1.0\,0.0\,0.001022620261006732\,0.0\,0.0\,1.0\,-0.01884387884254656\,0.0\,0.0\,0.0\,1.0",0.101214575,"0.06499929614606675\,0.06499929717115802\,0.1651033594520277",
PartNet-Mobility,3944,Bottle,"1.0\,0.0\,0.0\,-0.00012820820064396443\,0.0\,1.0\,0.0\,-0.0013010687999810422\,0.0\,0.0\,1.0\,-0.016967050103896354\,0.0\,0.0\,0.0\,1.0",0.117674747,"0.13936725894278457\,0.13936725894278457\,0.1999976465730749",
PartNet-Mobility,3990,Bottle,"1.0\,0.0\,0.0\,-0.00012054576166840511\,0.0\,1.0\,0.0\,0.0001356602599848558\,0.0\,0.0\,1.0\,-0.007272173114295601\,0.0\,0.0\,0.0\,1.0",0.119000397,"0.059998572614083034\,0.09374779852472148\,0.2196374940984962",
